Date,Sales,Rolling4,QoQ_pct,YoY_pct
2008-01-01,2407552000.0,,,
2008-04-01,2427936000.0,,0.8466691477484245,
2008-07-01,2300541000.0,,-5.247049345617016,
2008-10-01,1829532000.0,2241390250.0,-20.47383637153174,
2009-01-01,1657155000.0,2053791000.0,-9.421917736339125,-31.168464897123716
2009-04-01,1826950000.0,1903544500.0,10.24617492026998,-24.7529588918324
2009-07-01,2223123000.0,1884190000.0,21.684939379840728,-3.3652084444484975
2009-10-01,1945272000.0,1913125000.0,-12.49822884293852,6.32620801385273
2010-01-01,1904579000.0,1974981000.0,-2.0918925476745676,14.930649215070414
2010-04-01,2111542000.0,2046129000.0,10.866600965357698,15.577437806179706
2010-07-01,2311231000.0,2068156000.0,9.457022403532589,3.963253495195729
2010-10-01,2228736000.0,2139022000.0,-3.5693100343496598,14.571946750891396
2011-01-01,2957148000.0,2402164250.0,32.68274035148173,55.265179338846
2011-04-01,3241654000.0,2684692250.0,9.620959113307826,53.52069719664587
2011-07-01,3470846000.0,2974596000.0,7.07021785792068,50.17304631168411
2011-10-01,2500793000.0,3042610250.0,-27.948603885047042,12.206784473351707
2012-01-01,2547108000.0,2940100250.0,1.8520125416217947,-13.866062841629844
2012-04-01,2738843000.0,2814397500.0,7.527556742784358,-15.510939785677314
2012-07-01,2885037000.0,2667945250.0,5.337801400080244,-16.877988824626623
2012-10-01,2789888000.0,2740219000.0,-3.298016628556233,11.56013312577251
2013-01-01,2675387000.0,2772288750.0,-4.104143248761238,5.036260731778941
2013-04-01,3022493000.0,2843201250.0,12.974048240497549,10.356562972028694
2013-07-01,3183370000.0,2917784500.0,5.3226591426349,10.34069927006136
2013-10-01,3119365000.0,3000153750.0,-2.01060511344896,11.809685550100934
2014-01-01,2936644000.0,3065468000.0,-5.857634486506069,9.765204062066534
2014-04-01,3331042000.0,3142605250.0,13.430228519357467,10.208427281717448
2014-07-01,3624346000.0,3252849250.0,8.805172675697271,13.852489657187196
2014-10-01,3500455000.0,3348121750.0,-3.4182994669934907,12.216909531266772
2015-01-01,3291273000.0,3436779000.0,-5.9758517107061815,12.07599559224748
2015-04-01,3642834000.0,3514727000.0,10.68161164388368,9.360194197491346
2015-07-01,3916440000.0,3587750500.0,7.510800656851235,8.059219511602912
2015-10-01,3656185000.0,3626683000.0,-6.645193083514622,4.448850220899847
